RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
098.19588905310;+20.29310194498;    1.6943;    2.111;   -2.578;20.5489;20.9390;19.1548
098.19786706386;+20.29114253295;          ;         ;         ;20.7538;21.7321;19.4123
098.19553186539;+20.30319897937;    0.6160;   -1.818;   -0.097;20.5562;20.9122;19.2761
098.19098836752;+20.31524555778;    0.3326;    0.729;   -2.733;16.8953;17.3172;16.2982
098.19903464498;+20.31272572240;    0.2937;    1.027;   -8.867;19.7273;20.5017;18.5732
098.20616486203;+20.31330267805;    0.1769;    0.018;   -2.178;17.8407;18.2962;17.2074
098.21265969547;+20.29987391413;    0.1090;   -0.074;    0.384;18.2385;18.5987;17.5686
098.20435348708;+20.29956463798;    1.2116;    0.945;   -6.905;20.1318;20.7111;18.6250
098.20912783542;+20.29868848681;    0.2877;   -0.911;   -0.014;19.3292;19.7877;18.5558
098.20614857908;+20.30601221584;    0.7650;    1.283;   -0.428;19.0412;19.3412;18.3781
098.20598067253;+20.29995648249;    1.8315;   -1.621;   -0.370;13.1588;13.5049;12.6559
098.21122466566;+20.30009251475;    0.6083;    1.334;   -2.334;14.2050;14.4793;13.7661
098.19408172631;+20.30074825608;    0.4360;    0.615;   -0.652;14.7395;14.9895;14.3241
098.19996221750;+20.29391087551;   -0.3832;    0.338;   -0.025;16.1701;16.4689;15.5431
098.18312884013;+20.29861297516;    1.1906;   -0.023;   -9.992;13.2672;13.6360;12.7362
098.18406343758;+20.30182340311;    0.0725;   -0.208;   -0.779;16.8873;17.2782;16.3168
098.20812401493;+20.30300237578;    0.5581;   -0.477;   -0.089;18.8642;19.3646;18.0301
098.20503575828;+20.30844635205;    0.2826;    1.174;   -3.807;17.5725;18.1777;16.8053
098.20687276571;+20.30988767682;    0.1718;   -0.631;   -1.906;17.8438;18.2781;17.2196
098.20010819811;+20.29406585371;          ;         ;         ;18.5812;       ;
098.20426190410;+20.29523873027;    0.3783;   -1.597;    0.775;19.6409;19.9496;18.8645
098.18259136168;+20.30823941224;    0.4323;    0.469;   -0.970;18.5869;19.2249;17.7797
098.20271659134;+20.30771410600;    1.4436;    2.827;   -4.775;19.7071;20.2852;18.6798
098.21352360008;+20.30416875621;    0.6098;    0.151;   -6.853;19.6207;20.4336;18.5740
098.20025671448;+20.30008297805;    0.7924;   -0.096;    0.418;18.5063;19.0367;17.8208
098.18651585307;+20.30476226936;    0.2306;   -2.001;    0.908;20.0203;       ;
098.19681276210;+20.29551454166;    0.3362;    2.641;   -2.037;18.9678;19.5382;18.0962
098.18956442099;+20.29618085257;    0.7284;   -0.080;   -0.829;19.4938;20.1038;18.7044
098.20227525614;+20.29901234445;    0.0244;    2.706;   -7.276;20.1686;20.7402;19.0558
098.18613700428;+20.30427665632;    0.2568;    2.658;   -1.127;16.6579;17.1476;15.9678
098.18061360989;+20.30545305179;    0.0240;   -0.146;   -1.588;18.1355;18.5780;17.4738
098.18438155297;+20.31108608102;    0.2457;   -0.186;   -0.128;15.5527;16.0686;14.8665
098.14794659322;+20.31498823806;    0.1131;   -0.306;   -0.534;18.1987;18.7192;17.4881
098.15070735753;+20.28571225703;   -2.4494;   -1.879;    0.650;20.6254;20.6889;19.3856
098.14228388815;+20.29825711946;   -0.9503;    4.656;   -3.194;20.2602;20.8461;19.0956
098.13825416206;+20.31161819775;    1.0114;   -0.691;   -3.529;18.4784;       ;
098.15496804089;+20.31222141449;    0.1992;   -0.278;   -5.382;18.1237;18.7458;17.3746
098.15422788835;+20.29133257463;    0.6861;   -3.807;   -0.729;19.6309;20.6724;18.6636
098.15310756492;+20.32056141949;    0.2193;   -1.100;   -1.377;18.7673;19.1281;18.1403
098.15150806248;+20.31638105407;    0.4559;    0.142;   -1.519;17.6320;18.0159;17.0893
098.13722016063;+20.30968588838;    0.1037;   -2.744;   -0.890;19.3082;20.0538;18.5380
098.14102946856;+20.30620598251;    0.3048;    8.016;    0.659;17.8069;18.3638;17.0747
098.14390776681;+20.29845571543;    0.3787;   -1.048;   -3.059;14.7283;15.1629;14.1267
098.14918070584;+20.30656023696;    0.4812;   -0.808;   -0.192;16.3964;16.8322;15.8046
098.14785568178;+20.30405454720;    1.5575;   -4.522;   -2.277;16.2066;16.7012;15.5075
098.14774763647;+20.30237379379;    4.9509;  -31.084;  -60.156;12.4908;13.0140;11.8382
098.15894953228;+20.29966615425;   -0.1841;   -0.211;   -2.085;19.8320;20.2998;19.0107
098.16694375123;+20.30152391099;    0.7349;   -0.016;   -4.887;17.0493;17.6242;16.3105
098.15066828078;+20.28736193862;    0.4545;    3.218;   -1.514;20.0210;20.4340;19.1508
098.15186330025;+20.31765254085;    1.0039;   -2.282;    2.670;20.0371;21.0065;18.9846
098.14642555215;+20.30278832056;    0.3126;   -0.069;   -1.369;19.0010;18.9282;17.7313
098.14943659603;+20.30393582572;    0.3925;   -0.005;   -0.980;17.2844;17.6343;16.5872
098.15174808589;+20.30610191887;   -0.0813;   -0.253;   -1.384;18.2282;18.6867;17.5237
098.14761489772;+20.31593477761;    2.0938;   27.715;  -23.690;19.2818;20.2760;18.0086
098.16907882233;+20.30727226907;   -0.0845;    0.673;   -1.525;19.2626;19.7528;18.5247
098.15924801878;+20.30751184837;   -0.1417;   -0.727;   -1.386;18.6274;18.9681;18.0803
098.15120901566;+20.29455634134;   -0.0592;    0.099;   -1.163;18.2923;18.8705;17.6158
098.15968570316;+20.31623919564;    1.3425;   -1.310;   -2.999;20.3879;20.9184;19.1830
098.13959492272;+20.29977532842;    0.5972;    4.279;   -3.705;15.6271;16.1742;14.8961
098.15445980234;+20.30850734214;   -4.1900;   -0.923;   -4.493;18.0212;18.3554;17.0962
098.16094112472;+20.30578871790;    1.0367;    9.490;   -3.705;20.0486;20.9405;18.7720
098.15382217814;+20.31414776303;          ;         ;         ;20.6868;20.8818;19.8560
098.15996309486;+20.29795870814;    0.2585;    0.209;   -1.717;16.7629;17.0969;16.2634
098.13653449609;+20.30751422168;    1.5549;   -0.958;   -4.161;20.1268;20.6880;19.1745
